course_number,course_name,description,required_MS,required_Cert,last_taught,next_planned,website
BIFX 501,Foundation in Life Sciences,Prerequisite: Admission to the MS in Bioinformatics. Lab fee. A foundation course in cell biology and genome science for the non-life scientist.,1,0,,,
BIFX 502,Foundations in Computer Sciences,"Prerequisite: Admission to the MS in Bioinformatics. Lab fee. This course provides students with an introduction to programming concepts and techniques used in problem solving. Students will study general programming concepts for the purpose of data analysis. These concepts are demonstrated through the use of a modern programming language. Students will design, implement and test programs to solve analytical problems primarily in IT, business, and science. Students will develop the ability to logically plan and develop programs, and learn to write, test, and debug programs. Topics include file I/O, expressions, types, variables, branching, loops, data access, data profiling, and data manipulation. Students will apply their knowledge through hands-on programming projects.",1,0,Spring 2026,Fall 2026,
BIFX 503,Biostatistics in R,"Prerequisite: Admission to the Certificate or MS in Bioinformatics. Lab fee. This course will focus on the statistical concepts that are used in biology and medicine to analyze and validate data. Topics will include probability, hypothesis testing, tests for variables (e.g. chi-square, Fisher’s test), t-test, linear and multivariate regression, covariance and Bayesian statistic.",1,0,Fall 2025,Fall 2026,
BIFX 504,Advanced Molecular Biology for Bioinformatics,"Prerequisite: BIFX 501 or waiver of BIFX 501 or permission of instructor. The accelerated use of next generation sequencing means that the analysis of sequencing data is one of primary job duties of most bioinformaticians. The DNA/RNA sequencing boom is now being followed by a renewed focus on metagenomics as well as high-throughput protein sequencing as analytical techniques. In this course, students will gain detailed knowledge of the biology that underlies these and other techniques. By understanding the full range of transcripts made by cells, the mechanisms that regulate transcription, and the details of RNA transcript processing and translation, students will learn how the underlying biology affects the sensitivity and correct interpretation of key types of bioinformatics assays, including microarrays, genome-wide association studies, and sequencing of DNA, RNA, proteins, and the microbiome. The fundamentals of good experimental design will be emphasized throughout the course.",1,0,Fall 2025,Summer 2026,https://bifx504-25.github.io/BIFX504Info/
BIFX 530,Applied Database Systems,"Prerequisite: A minimum grade of ""B-"" in BIFX 502 or CSIT 512 and BIFX 551 or permission of the instructor. Not open to students who have completed CS 530. A study of the design and implementation of databases from a real-world applications point of view. The course will explore the enterprise perspective of managing data needs of an organization. Topics include data integrity, database models, logical database design, the integration of databases, security,and database administration issues. The course will also address topics such as assessing enduser needs, developing specifications, and designing functionally equivalent solutions. The student will be introduced to query processing within a database environment.",0,0,Spring 2026,Fall 2026,
BIFX 545,Leading Reproducible Research,"Prerequisites: BIFX 501 or 502. Lab fee. Within the context of Bioinformatics – a cross-disciplinary field that uses computers, statistics, and mathematics to store, model and analyze biological data - the goal of the course is to enable translational, interdisciplinary scientists to understand the importance of leadership to the field and the team. Candidates will explore their own leadership style, consider leadership qualities necessary for a successful team, understand the interactions within a complex matrix environment in a Life Science organization and apply leadership and management skills to bioinformatics projects.",1,0,Spring 2026,Spring 2027,https://bifx545-26.github.io/CourseInfo/
BIFX 546,Machine Learning for Bioinformatics,"Prerequisites: BIFX 501 or 502 and BIFX 503. Lab fee. This course will provide an introduction to knowledge reasoning and the field of machine learning, allowing the students to capture and represent in a computer real world data (such as biological data) that can be used to solve complex problems. The foundations of machine learning will provide the students with more advanced methods to analyze data. Topics that will be covered include logic, ontology engineering and semantic, reasoning systems, pattern recognition, supervised and unsupervised learning, data mining.",0,0,Spring 2026,,https://github.com/ravichas/bifx-546
BIFX 547,AI and Web-Based Bioinformatics,"Prerequisites: BIFX 501 or BIFX 502. Lab fee. The goal of this course is to provide the students with a more in-depth overview of web-based bioinformatics tools and other freely available tools. As a bioinformatician works to solve specific problems, sometimes it is easier to use the existing, available tools rather than building a new one, thus providing a time-saving approach to the specific task. The course will emphasize a hands-on approach using available tools and public domain data.",0,0,Spring 2026,,https://bifx547-26.github.io/CourseInfo/
BIFX 550,Functional Genomics: Sequence Analysis and Structural Bioinformatics,"Prerequisite: Admission to the Bioinformatics Certificate or the Biomedical Science program and BIFX 501. Lab fee. This course will begin and extend beyond the basics and prepare students to use sequence and structural information to solve biological problems. This course serves as an intermediate level class for graduate students who plan to work in the areas of computational biology or bioinformatics using available applications. This course will lay foundations for data storage, visualization, manipulation, comparison, and analysis of 1D-protein/DNA sequences and their corresponding experimental/model 3D-structures using existing bioinformatics tools. A basic introduction to scripting will also be included.",1,1,Fall 2025,Fall 2026,https://bifx550-25.github.io/BIFX550info/
BIFX 551,Advanced Programming for Bioinformatics,"Prerequisite: Admission to the Bioinformatics Certificate or the Biomedical Science program and BIFX 501 or BIFX 502. Lab fee. This class will provide students with an introduction to the Perl, Python and R programming languages. The concepts will be put in context with examples and uses relevant to Bioinformatics. Examples covered will range from data file retrieval and manipulation, to sequence analysis, microarray analysis, data presentation and visualization.",1,1,Spring 2026,Spring 2027,https://bifx551-26.github.io/CourseInfo/
BIFX 552,Bioinformatics Skills,"Prerequisites: A minimum grade of ""B-"" in BIFX 551 or permission of the instructor. This class introduces applied data science skills needed by bioinformatics professionals. A focus will be placed on reproducible bioinformatics research and will include the following topics and tools:beginning to intermediate use of the Unix command line, working with remote computing resources, version tracking, R and Bioconductor, tools for manipulating sequence data, and creation of pipelines.",1,1,Fall 2024,Fall 2026,
BIFX 553,Applied Data Science for Bioinformatics,"Prerequisites: A minimum grade of ""B-"" in BIFX 552 or permission of the instructor. Students will continue to develop the data science skills learned in BIFX 552 while gaining a deeper understanding of statistics and machine learning by performing real-world analyses of biological data. A deeper understanding will be gained of what can go wrong in data analyses, and principles of reproducible research will be emphasized. Students will use the highperformance-computing cluster using R as well as important application programs for processing sequencing data. A large portion of the class will be devoted to processing high-throughput sequencing data (RNA-Seq, whole genome sequencing, whole exome sequencing, variant analysis, metagenomics). Additional possible topics are genomewide association studies (GWAS), phylogenetics, and the analysis of protein motifs and protein domains.",1,1,,,
BIFX 572,Computational Genomics Practicum,"Prerequisites: A minimum grade of ""B-"" in BIFX 504 and BIFX 552 or permission of the instructor. This course provides a practical, hands-on experiential learning opportunity for Bioinformatics students and emphasizes experimental design and biological interpretation of results. Students will apply a wide variety of concepts and skills that they have learned throughout previous courses to perform a full start-to-finish analysis and interpretation of reallife RNA sequencing data. And will compare the methods used to for RNA sequencing analysis to those used for microarray and metagenomic (microbiome) studies. Over the course of the semester, students will utilize best practices for conducting robust, reproducible research and will generate a series of workflow scripts that can be adapted and reused to perform future work. This course serves as the capstone for the Bioinformatics Certificate and is a recommended practicum for Bioinformatics Masters’ students.",0,1,,Fall 2026,
BIFX 579,Bioinformatics Capstone,"Prerequisite: Completion of or concurrent enrollment in BIFX 545 and 550 and permission of the instructor. Lab fee. The Capstone Project will provide the student with the opportunity to apply bioinformatics skills and techniques to actual genomic and proteomic data in a real life sciences research environment. An internship with a leading research groups that make use of bioinformatics tools is strongly suggested, and the students will also further develop the ability to work in a matrix team. As an alternative, students will work with Hood Faculty on a specific project.",1,0,Spring 2026,Fall 2026,
